id,source,target,size,count
4048,alternet.org,theatlantic.com,0.0017,418
1866,izh.kp.ru,reuters.com,0.0035,842
3577,charlotteobserver.com,washingtonpost.com,0.0019,464
5027,wdam.com,wlox.com,0.0014,343
3863,hs.fi,theguardian.com,0.0018,436
4597,abc2news.com,newsy.com,0.0016,372
1907,dailycaller.com,reuters.com,0.0035,830
3345,cbslocal.com,espn.com,0.002,491
3057,belta.by,trend.az,0.0022,528
4497,jamanetwork.com,yahoo.com,0.0016,379
5477,marketwatch.com,reuters.com,0.0013,319
7070,gothamist.com,washingtonpost.com,0.0011,255
1841,alt.kp.ru,reuters.com,0.0035,850
4315,elpais.com,theguardian.com,0.0016,395
1054,huffingtonpost.com,inquisitr.com,0.0058,1389
7884,foxnews.com,rt.com,0.001,233
5478,gizmodo.com.au,nytimes.com,0.0013,319
9362,vesti.ru,vestifinance.ru,0.0008,199
8657,blogspot.com,foxnews.com,0.0009,214
5102,govexec.com,qz.com,0.0014,339
1831,hollywoodtake.com,people.com,0.0036,853
4304,globo.com,infomoney.com.br,0.0017,396
7242,from-ua.com,rbc.ua,0.001,250
1478,bloomberg.com,dennikn.sk,0.0044,1045
2856,echospb.ru,lenta.ru,0.0024,565
3712,thehill.com,washingtonexaminer.com,0.0019,451
2793,fontanka.ru,profile.ru,0.0024,577
4931,kazu.org,washingtonpost.com,0.0015,349
1745,day.kyiv.ua,ukrinform.ua,0.0037,892
4526,politico.com,univision.com,0.0016,378
7676,msn.com,tmz.com,0.001,238
4376,wjla.com,wsbt.com,0.0016,389
5782,ad.nl,nu.nl,0.0013,302
200,pressan.is,theguardian.com,0.025,5995
2106,espn.com,fansided.com,0.0031,750
5911,fool.com,msn.com,0.0012,297
6489,cato.org,nytimes.com,0.0011,274
7629,theverge.com,vice.com,0.001,240
2900,ap.org,newstimes.com,0.0023,554
4278,bbc.com,huffingtonpost.gr,0.0017,398
4518,bbc.co.uk,huffingtonpost.com,0.0016,378
6136,csmonitor.com,theatlantic.com,0.0012,287
9350,newsmax.com,npr.org,0.0008,199
5757,gloswielkopolski.pl,polskatimes.pl,0.0013,304
48,kirov.kp.ru,kp.ru,0.11,26391
8117,canberratimes.com.au,theherald.com.au,0.0009,227
1216,biz.xinmin.cn,economy.gmw.cn,0.0052,1247
4400,huffingtonpost.com,huffingtonpost.it,0.0016,387
5386,reuters.com,viveremilano.biz,0.0014,324
3856,local12.com,wjla.com,0.0018,436
307,gazetaprawna.pl,serwisy.gazetaprawna.pl,0.016,3828
2768,boainformacao.com.br,infomoney.com.br,0.0024,581
7590,ap.org,penza.kp.ru,0.001,241
6103,forbes.com,msn.com,0.0012,288
543,amur.kp.ru,ria.ru,0.0113,2709
4966,huffingtonpost.com,realclearpolitics.com,0.0014,347
4853,businessinsider.com,pressan.is,0.0015,354
2143,indiatimes.com,thenewsminute.com,0.0031,733
