id,label,page_rank,modularity_class
lexpress.fr,lexpress.fr,6239664,39
elwatannews.com,elwatannews.com,2552243,8
qzwb.com,qzwb.com,4325141,0
lelab.europe1.fr,lelab.europe1.fr,2950420,39
sciagnij.pl,sciagnij.pl,2743878,49
jxnews.com.cn,jxnews.com.cn,3680662,7
news.day.az,news.day.az,2712555,16
brookings.edu,brookings.edu,2132891,44
perthnow.com.au,perthnow.com.au,5158135,15
rueconomics.ru,rueconomics.ru,5268130,16
talkingpointsmemo.com,talkingpointsmemo.com,3125292,44
mysanantonio.com,mysanantonio.com,2647961,18
nur.kz,nur.kz,3696968,16
polit.ru,polit.ru,3176539,16
echo.msk.ru,echo.msk.ru,2125804,16
kcby.com,kcby.com,2383695,57
capitolfax.com,capitolfax.com,2125804,31
alsumaria.tv,alsumaria.tv,2189654,8
yourtango.com,yourtango.com,3661140,44
alt.kp.ru,alt.kp.ru,2125804,3
globenewswire.com,globenewswire.com,4817689,28
volgograd.kp.ru,volgograd.kp.ru,32524866,3
bjd.com.cn,bjd.com.cn,2125804,7
sofrep.com,sofrep.com,2552922,60
gs24.pl,gs24.pl,2125804,42
expresso.sapo.pt,expresso.sapo.pt,2144883,53
dailybulletin.com,dailybulletin.com,2125804,51
nj.com,nj.com,2180314,44
collider.com,collider.com,2125804,20
hebnews.cn,hebnews.cn,5469800,17
gawker.com,gawker.com,2340651,40
sfgate.com,sfgate.com,8566276,18
fedpress.ru,fedpress.ru,2125804,16
al.com,al.com,2125804,44
wnmufm.org,wnmufm.org,6698057,59
baike.focus.cn,baike.focus.cn,2125804,13
brooklynvegan.com,brooklynvegan.com,2125804,34
denofgeek.com,denofgeek.com,2738555,20
misrday.com,misrday.com,9961195,8
novayagazeta.ru,novayagazeta.ru,2172782,16
journalstar.com,journalstar.com,4072534,10
csoonline.com,csoonline.com,2370363,37
muswellbrookchronicle.com.au,muswellbrookchronicle.com.au,2125804,14
pcworld.com,pcworld.com,20679290,37
hamrinnews.net,hamrinnews.net,16042913,8
globo.com,globo.com,4346554,54
csmonitor.com,csmonitor.com,2262170,20
slate.fr,slate.fr,8538166,39
stltoday.com,stltoday.com,4236633,10
biz.xinmin.cn,biz.xinmin.cn,2914415,1
unn.com.ua,unn.com.ua,21056165,29
timesunion.com,timesunion.com,2502808,44
mic.com,mic.com,2892307,10
ua.racurs.ua,ua.racurs.ua,4043086,29
wqcs.org,wqcs.org,6721219,59
obozrevatel.com,obozrevatel.com,5797499,29
argumenti.ru,argumenti.ru,2125804,16
19rus.info,19rus.info,2125804,16
ecowatch.com,ecowatch.com,2346532,44
zdnet.com,zdnet.com,164181727,34
senate.gov,senate.gov,2607578,44
beatricedailysun.com,beatricedailysun.com,2141621,10
pehub.com,pehub.com,2336124,20
censor.net.ua,censor.net.ua,2417775,29
worldbank.org,worldbank.org,36476505,53
origo.hu,origo.hu,5338927,50
chron.com,chron.com,2274776,18
sznews.com,sznews.com,3409087,0
yam.com,yam.com,9088111,11
kuban.kp.ru,kuban.kp.ru,3065742,3
korrespondent.net,korrespondent.net,4369944,29
theglobeandmail.com,theglobeandmail.com,4079384,46
katu.com,katu.com,2806455,57
jmrb.com,jmrb.com,2166216,0
aljazeera.com,aljazeera.com,2274113,53
myfox28columbus.com,myfox28columbus.com,2881791,57
ren.tv,ren.tv,2399589,16
energy.gov,energy.gov,2216356,28
foot01.com,foot01.com,2186296,39
whqr.org,whqr.org,5312749,59
cfr.org,cfr.org,2217061,20
hispantv.com,hispantv.com,2125804,60
philstar.com,philstar.com,3932483,34
portstephensexaminer.com.au,portstephensexaminer.com.au,2402564,14
ninernoise.com,ninernoise.com,2406080,31
m24.ru,m24.ru,2191007,16
techinsider.io,techinsider.io,2774107,18
npr.org,npr.org,41640070,59
